key,fullName,email,passportNumber,dateBirth,specialNeeds,draftMode,key:customer
passenger-12,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,X9Y8Z7W,2002/03/05 18:00,Lorem ipsum dolor sit ame,true,customer-01
passenger-13,Lorem ipsum dolor sit ame,acmepassword@lorem-ipsum.org,X9Y8Z7W,2002/03/05 18:00,Lorem ipsum dolor sit ame,true,customer-01
passenger-14,Lorem ipsum dolor sit ame,a@b.e,X9Y8Z7W,2002/03/05 18:00,Lorem ipsum dolor sit ame,true,customer-01
passenger-15,Lorem ipsum dolor sit ame,a@b.es,X9Y8Z7W,2002/03/05 18:00,Lorem ipsum dolor sit ame,true,customer-01
passenger-16,Lorem ipsum dolor sit ame,a@b.esx,X9Y8Z7W,2002/03/05 18:00,Lorem ipsum dolor sit ame,true,customer-02
passenger-17,Lorem ipsum dolor sit ame,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,X9Y8Z7W,2002/03/05 18:00,Lorem ipsum dolor sit ame,true,customer-02
passenger-18,Lorem ipsum dolor sit ame,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,X9Y8Z7W,2002/03/05 18:00,Lorem ipsum dolor sit ame,true,customer-02
# passportNumber standard variations
passenger-19,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,A1B2C3,2002/03/05 18:00,Lorem ipsum dolor sit ame,true,customer-02
passenger-20,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,X9Y8Z7W,2002/03/05 18:00,Lorem ipsum dolor sit ame,true,customer-02
passenger-21,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,1234ABCD,2002/03/05 18:00,Lorem ipsum dolor sit ame,true,customer-02
passenger-22,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,ABCDEFG12,2002/03/05 18:00,Lorem ipsum dolor sit ame,true,customer-02
# dateBirth standard variations
passenger-23,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,X9Y8Z7W,2002/03/05 18:00,Lorem ipsum dolor sit ame,true,customer-02
passenger-24,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,X9Y8Z7W,2000/01/01 0:01,Lorem ipsum dolor sit ame,true,customer-02
passenger-25,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,X9Y8Z7W,2024/12/31 23:59,Lorem ipsum dolor sit ame,true,customer-02
passenger-26,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,X9Y8Z7W,2025/01/01 0:00,Lorem ipsum dolor sit ame,true,customer-02
#specialNeeds standard variations
passenger-27,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,X9Y8Z7W,2002/03/05 18:00,L,true,customer-02
passenger-28,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,X9Y8Z7W,2002/03/05 18:00,Lo,true,customer-02
passenger-29,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,X9Y8Z7W,2002/03/05 18:00,Lorem ipsum dolor sit amet consectetur adipiscin,true,customer-02
passenger-30,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,X9Y8Z7W,2002/03/05 18:00,Lorem ipsum dolor sit amet consectetur adipiscing,true,customer-02


